Pt name,North,East,Elevation,HA,VA,SD,Time,Date,Code
PILIERA,5182784.575,245423.910,60.781,,,,11:43:12,2023-07-05,
nor2-1,5182760.642,245447.213,60.095,,,,11:44:38,2023-07-05,
nor2-2,5182760.643,245447.213,60.092,,,,11:44:40,2023-07-05,
nor2-100,5182785.220,245440.566,59.761,,,,11:48:51,2023-07-05,
nor2-101,5182785.219,245440.566,59.760,,,,11:48:52,2023-07-05,
nor2-102,5182785.221,245440.568,59.766,,,,11:48:52,2023-07-05,
nor2-103,5182785.223,245440.571,59.761,,,,11:48:54,2023-07-05,
nor2-104,5182785.220,245440.570,59.763,,,,11:48:54,2023-07-05,
nor2-105,5182785.225,245440.568,59.766,,,,11:48:56,2023-07-05,
nor2-106,5182785.223,245440.568,59.764,,,,11:48:56,2023-07-05,
nor2-107,5182785.226,245440.569,59.763,,,,11:48:58,2023-07-05,
nor2-108,5182785.222,245440.568,59.762,,,,11:48:58,2023-07-05,
nor2-109,5182785.224,245440.567,59.759,,,,11:49:00,2023-07-05,
nor2-110,5182785.222,245440.567,59.764,,,,11:49:00,2023-07-05,
nor2-111,5182785.225,245440.566,59.765,,,,11:49:02,2023-07-05,
nor2-112,5182785.225,245440.567,59.760,,,,11:49:02,2023-07-05,
nor2-113,5182785.227,245440.568,59.759,,,,11:49:03,2023-07-05,
nor2-114,5182785.225,245440.568,59.762,,,,11:49:04,2023-07-05,
nor2-115,5182785.221,245440.567,59.763,,,,11:49:06,2023-07-05,
nor2-116,5182785.217,245440.565,59.762,,,,11:49:06,2023-07-05,
nor2-117,5182785.217,245440.564,59.769,,,,11:49:07,2023-07-05,
nor2-118,5182785.222,245440.566,59.768,,,,11:49:09,2023-07-05,
nor2-119,5182785.223,245440.566,59.764,,,,11:49:09,2023-07-05,
nor2-120,5182785.221,245440.567,59.766,,,,11:49:11,2023-07-05,
nor2-121,5182785.221,245440.566,59.771,,,,11:49:12,2023-07-05,
nor2-122,5182785.222,245440.566,59.763,,,,11:49:12,2023-07-05,
nor2-123,5182785.222,245440.563,59.762,,,,11:49:14,2023-07-05,
nor2-124,5182785.222,245440.565,59.764,,,,11:49:15,2023-07-05,
nor2-125,5182785.221,245440.564,59.760,,,,11:49:16,2023-07-05,
nor2-126,5182785.221,245440.562,59.762,,,,11:49:16,2023-07-05,
nor2-127,5182785.221,245440.564,59.767,,,,11:49:18,2023-07-05,
nor2-128,5182785.219,245440.563,59.763,,,,11:49:18,2023-07-05,
nor2-129,5182785.220,245440.564,59.766,,,,11:49:20,2023-07-05,
nor2-130,5182785.221,245440.565,59.763,,,,11:49:20,2023-07-05,
nor2-131,5182785.221,245440.563,59.767,,,,11:49:21,2023-07-05,
nor2-132,5182785.219,245440.564,59.766,,,,11:49:23,2023-07-05,
nor2-133,5182785.221,245440.565,59.766,,,,11:49:24,2023-07-05,
nor2-134,5182785.222,245440.563,59.768,,,,11:49:24,2023-07-05,
nor2-135,5182785.220,245440.562,59.765,,,,11:49:26,2023-07-05,
nor2-136,5182785.220,245440.564,59.764,,,,11:49:26,2023-07-05,
nor2-137,5182785.219,245440.562,59.774,,,,11:49:27,2023-07-05,
nor2-138,5182785.220,245440.564,59.773,,,,11:49:28,2023-07-05,
nor2-139,5182785.216,245440.562,59.776,,,,11:49:30,2023-07-05,
nor2-140,5182785.217,245440.560,59.771,,,,11:49:30,2023-07-05,
nor2-141,5182785.219,245440.562,59.771,,,,11:49:32,2023-07-05,
nor2-142,5182785.219,245440.562,59.771,,,,11:49:32,2023-07-05,
nor2-143,5182785.219,245440.564,59.775,,,,11:49:33,2023-07-05,
nor2-144,5182785.217,245440.563,59.771,,,,11:49:34,2023-07-05,
nor2-145,5182785.215,245440.563,59.771,,,,11:49:35,2023-07-05,
nor2-146,5182785.215,245440.561,59.770,,,,11:49:36,2023-07-05,
nor2-147,5182785.215,245440.564,59.772,,,,11:49:37,2023-07-05,
nor2-148,5182785.214,245440.563,59.774,,,,11:49:38,2023-07-05,
nor2-149,5182785.214,245440.565,59.766,,,,11:49:39,2023-07-05,
nor2-150,5182785.214,245440.565,59.768,,,,11:49:41,2023-07-05,
nor2-151,5182785.217,245440.565,59.769,,,,11:49:41,2023-07-05,
nor2-152,5182785.215,245440.564,59.773,,,,11:49:42,2023-07-05,
nor2-153,5182785.212,245440.563,59.772,,,,11:49:43,2023-07-05,
nor2-154,5182785.214,245440.565,59.772,,,,11:49:44,2023-07-05,
nor2-155,5182785.215,245440.564,59.772,,,,11:49:46,2023-07-05,
nor2-156,5182785.216,245440.564,59.772,,,,11:49:46,2023-07-05,
nor2-157,5182785.215,245440.564,59.769,,,,11:49:48,2023-07-05,
nor2-158,5182785.213,245440.564,59.774,,,,11:49:48,2023-07-05,
nor2-159,5182785.213,245440.566,59.776,,,,11:49:50,2023-07-05,
nor2-160,5182785.214,245440.564,59.771,,,,11:49:51,2023-07-05,
nor2-161,5182785.212,245440.564,59.774,,,,11:49:51,2023-07-05,
nor2-162,5182785.215,245440.566,59.768,,,,11:49:52,2023-07-05,
nor2-163,5182785.214,245440.566,59.772,,,,11:49:54,2023-07-05,
nor2-164,5182785.212,245440.567,59.768,,,,11:49:54,2023-07-05,
nor2-165,5182785.217,245440.565,59.761,,,,11:49:55,2023-07-05,
nor2-166,5182785.216,245440.564,59.765,,,,11:49:56,2023-07-05,
nor2-167,5182785.215,245440.565,59.766,,,,11:49:57,2023-07-05,
nor2-168,5182785.215,245440.568,59.762,,,,11:49:58,2023-07-05,
nor2-169,5182785.215,245440.567,59.765,,,,11:49:59,2023-07-05,
nor2-170,5182785.213,245440.565,59.769,,,,11:50:00,2023-07-05,
nor2-171,5182785.218,245440.566,59.760,,,,11:50:01,2023-07-05,
nor2-172,5182785.219,245440.565,59.769,,,,11:50:02,2023-07-05,
nor2-173,5182785.218,245440.568,59.771,,,,11:50:04,2023-07-05,
nor2-174,5182785.218,245440.566,59.766,,,,11:50:04,2023-07-05,
nor2-175,5182785.218,245440.566,59.761,,,,11:50:05,2023-07-05,
nor2-176,5182785.215,245440.565,59.764,,,,11:50:06,2023-07-05,
nor2-177,5182785.218,245440.565,59.765,,,,11:50:07,2023-07-05,
nor2-178,5182785.220,245440.565,59.765,,,,11:50:08,2023-07-05,
nor2-179,5182785.217,245440.567,59.763,,,,11:50:10,2023-07-05,
nor2-180,5182785.216,245440.567,59.768,,,,11:50:10,2023-07-05,
nor2-181,5182785.213,245440.566,59.765,,,,11:50:11,2023-07-05,
nor2-182,5182785.216,245440.565,59.772,,,,11:50:12,2023-07-05,
nor2-183,5182785.214,245440.565,59.765,,,,11:50:13,2023-07-05,
nor2-184,5182785.701,245439.698,59.741,,,,11:50:14,2023-07-05,
nor2-185,5182785.967,245439.342,59.742,,,,11:50:15,2023-07-05,
nor2-186,5182786.241,245438.346,59.755,,,,11:50:17,2023-07-05,
nor2-187,5182786.669,245437.473,59.786,,,,11:50:18,2023-07-05,
nor2-188,5182787.365,245436.763,59.743,,,,11:50:19,2023-07-05,
nor2-189,5182788.036,245436.479,59.736,,,,11:50:19,2023-07-05,
nor2-190,5182788.026,245436.539,59.769,,,,11:50:21,2023-07-05,
nor2-191,5182788.224,245436.468,59.773,,,,11:50:21,2023-07-05,
nor2-192,5182788.927,245436.461,59.758,,,,11:50:22,2023-07-05,
nor2-193,5182788.189,245436.453,59.802,,,,11:50:23,2023-07-05,
nor2-194,5182788.135,245436.471,59.757,,,,11:50:24,2023-07-05,
nor2-195,5182788.141,245436.446,59.771,,,,11:50:25,2023-07-05,
nor2-196,5182788.247,245436.367,59.767,,,,11:50:26,2023-07-05,
nor2-197,5182788.342,245436.306,59.772,,,,11:50:27,2023-07-05,
nor2-198,5182788.349,245436.327,59.772,,,,11:50:28,2023-07-05,
nor2-199,5182788.197,245436.257,59.780,,,,11:50:30,2023-07-05,
nor2-200,5182788.001,245436.165,59.768,,,,11:50:30,2023-07-05,
nor2-201,5182787.985,245436.159,59.765,,,,11:50:32,2023-07-05,
nor2-202,5182787.986,245436.160,59.767,,,,11:50:32,2023-07-05,
nor2-203,5182787.987,245436.159,59.771,,,,11:50:33,2023-07-05,
nor2-204,5182787.985,245436.158,59.771,,,,11:50:34,2023-07-05,
nor2-205,5182787.985,245436.158,59.766,,,,11:50:36,2023-07-05,
nor2-206,5182787.983,245436.160,59.764,,,,11:50:36,2023-07-05,
nor2-207,5182787.986,245436.160,59.762,,,,11:50:37,2023-07-05,
nor2-208,5182787.985,245436.158,59.759,,,,11:50:38,2023-07-05,
nor2-209,5182787.986,245436.159,59.759,,,,11:50:40,2023-07-05,
nor2-210,5182787.989,245436.158,59.756,,,,11:50:40,2023-07-05,
nor2-211,5182787.999,245436.158,59.762,,,,11:50:42,2023-07-05,
nor2-212,5182788.072,245436.122,59.755,,,,11:50:42,2023-07-05,
nor2-213,5182787.974,245435.870,59.758,,,,11:50:44,2023-07-05,
nor2-214,5182787.622,245435.483,59.756,,,,11:50:44,2023-07-05,
nor2-215,5182787.221,245434.983,59.755,,,,11:50:46,2023-07-05,
nor2-216,5182786.913,245434.548,59.748,,,,11:50:46,2023-07-05,
nor2-217,5182786.798,245434.401,59.742,,,,11:50:48,2023-07-05,
nor2-218,5182786.803,245434.401,59.737,,,,11:50:48,2023-07-05,
nor2-219,5182786.804,245434.401,59.729,,,,11:50:50,2023-07-05,
nor2-220,5182786.805,245434.400,59.736,,,,11:50:50,2023-07-05,
nor2-221,5182786.804,245434.401,59.737,,,,11:50:52,2023-07-05,
nor2-222,5182786.799,245434.395,59.739,,,,11:50:52,2023-07-05,
nor2-223,5182786.796,245434.397,59.743,,,,11:50:53,2023-07-05,
nor2-224,5182786.792,245434.393,59.745,,,,11:50:54,2023-07-05,
nor2-225,5182786.796,245434.393,59.745,,,,11:50:56,2023-07-05,
nor2-226,5182786.791,245434.395,59.758,,,,11:50:56,2023-07-05,
nor2-227,5182786.793,245434.396,59.749,,,,11:50:57,2023-07-05,
nor2-228,5182786.790,245434.396,59.757,,,,11:50:58,2023-07-05,
nor2-229,5182786.793,245434.394,59.741,,,,11:51:00,2023-07-05,
nor2-230,5182786.794,245434.396,59.750,,,,11:51:00,2023-07-05,
nor2-231,5182786.792,245434.395,59.744,,,,11:51:01,2023-07-05,
nor2-232,5182786.793,245434.398,59.746,,,,11:51:02,2023-07-05,
nor2-233,5182786.794,245434.396,59.748,,,,11:51:03,2023-07-05,
nor2-234,5182786.793,245434.396,59.745,,,,11:51:04,2023-07-05,
nor2-235,5182786.791,245434.393,59.744,,,,11:51:05,2023-07-05,
nor2-236,5182786.794,245434.396,59.748,,,,11:51:06,2023-07-05,
nor2-237,5182786.794,245434.395,59.743,,,,11:51:07,2023-07-05,
nor2-238,5182786.794,245434.396,59.748,,,,11:51:08,2023-07-05,
nor2-239,5182786.791,245434.396,59.751,,,,11:51:09,2023-07-05,
nor2-240,5182786.791,245434.397,59.752,,,,11:51:10,2023-07-05,
nor2-241,5182786.792,245434.395,59.755,,,,11:51:11,2023-07-05,
nor2-242,5182786.790,245434.395,59.757,,,,11:51:12,2023-07-05,
nor2-243,5182786.793,245434.395,59.759,,,,11:51:13,2023-07-05,
nor2-244,5182786.790,245434.396,59.756,,,,11:51:15,2023-07-05,
nor2-245,5182786.791,245434.395,59.759,,,,11:51:16,2023-07-05,
nor2-246,5182786.788,245434.394,59.759,,,,11:51:16,2023-07-05,
nor2-247,5182786.789,245434.396,59.758,,,,11:51:17,2023-07-05,
nor2-248,5182786.846,245434.499,59.757,,,,11:51:18,2023-07-05,
nor2-249,5182787.780,245435.693,59.752,,,,11:51:20,2023-07-05,
nor2-250,5182788.486,245436.599,59.764,,,,11:51:20,2023-07-05,
nor2-251,5182789.135,245437.457,59.791,,,,11:51:21,2023-07-05,
nor2-252,5182789.304,245437.668,59.813,,,,11:51:22,2023-07-05,
nor2-253,5182789.296,245437.655,59.803,,,,11:51:23,2023-07-05,
nor2-254,5182789.252,245437.655,59.802,,,,11:51:24,2023-07-05,
nor2-255,5182788.902,245437.542,59.818,,,,11:51:26,2023-07-05,
nor2-256,5182788.487,245437.597,59.782,,,,11:51:26,2023-07-05,
nor2-257,5182788.147,245437.898,59.765,,,,11:51:27,2023-07-05,
nor2-258,5182788.094,245437.945,59.763,,,,11:51:28,2023-07-05,
nor2-259,5182788.093,245437.944,59.765,,,,11:51:29,2023-07-05,
nor2-260,5182788.092,245437.941,59.761,,,,11:51:30,2023-07-05,
nor2-261,5182788.090,245437.941,59.755,,,,11:51:32,2023-07-05,
nor2-262,5182788.088,245437.940,59.765,,,,11:51:32,2023-07-05,
nor2-263,5182788.088,245437.942,59.766,,,,11:51:34,2023-07-05,
nor2-264,5182788.089,245437.940,59.754,,,,11:51:35,2023-07-05,
nor2-265,5182788.089,245437.937,59.759,,,,11:51:36,2023-07-05,
nor2-266,5182788.092,245437.940,59.766,,,,11:51:37,2023-07-05,
nor2-267,5182788.089,245437.939,59.766,,,,11:51:38,2023-07-05,
nor2-268,5182788.089,245437.941,59.767,,,,11:51:39,2023-07-05,
nor2-269,5182788.088,245437.942,59.768,,,,11:51:40,2023-07-05,
nor2-270,5182788.088,245437.939,59.771,,,,11:51:40,2023-07-05,
nor2-271,5182787.692,245438.204,59.781,,,,11:51:41,2023-07-05,
nor2-272,5182786.946,245438.728,59.799,,,,11:51:42,2023-07-05,
nor2-273,5182785.996,245439.381,59.757,,,,11:51:44,2023-07-05,
nor2-274,5182785.143,245439.954,59.778,,,,11:51:44,2023-07-05,
nor2-275,5182784.135,245440.690,59.788,,,,11:51:46,2023-07-05,
nor2-276,5182783.087,245441.387,59.796,,,,11:51:46,2023-07-05,
nor2-277,5182782.095,245442.076,59.792,,,,11:51:48,2023-07-05,
nor2-278,5182780.926,245442.917,59.808,,,,11:51:48,2023-07-05,
nor2-279,5182779.850,245443.790,59.849,,,,11:51:50,2023-07-05,
nor2-280,5182778.796,245444.793,59.821,,,,11:51:50,2023-07-05,
nor2-281,5182777.849,245445.673,59.838,,,,11:51:52,2023-07-05,
nor2-282,5182776.809,245446.586,59.844,,,,11:51:52,2023-07-05,
nor2-283,5182775.743,245447.510,59.907,,,,11:51:53,2023-07-05,
nor2-284,5182774.685,245448.453,59.929,,,,11:51:54,2023-07-05,
nor2-285,5182773.557,245449.390,59.919,,,,11:51:56,2023-07-05,
nor2-286,5182772.476,245450.315,59.976,,,,11:51:56,2023-07-05,
nor2-287,5182771.427,245451.230,59.981,,,,11:51:58,2023-07-05,
nor2-288,5182770.325,245452.167,59.969,,,,11:51:58,2023-07-05,
nor2-289,5182769.815,245452.578,59.980,,,,11:52:00,2023-07-05,
nor2-290,5182769.805,245452.586,59.976,,,,11:52:01,2023-07-05,
nor2-291,5182769.805,245452.592,59.970,,,,11:52:01,2023-07-05,
nor2-292,5182769.810,245452.590,59.972,,,,11:52:03,2023-07-05,
nor2-293,5182769.796,245452.590,59.967,,,,11:52:04,2023-07-05,
nor2-294,5182769.816,245452.592,59.969,,,,11:52:04,2023-07-05,
nor2-295,5182769.816,245452.593,59.971,,,,11:52:06,2023-07-05,
nor2-296,5182769.815,245452.593,59.970,,,,11:52:07,2023-07-05,
nor2-297,5182770.812,245451.764,59.979,,,,11:52:08,2023-07-05,
nor2-298,5182772.016,245450.815,59.951,,,,11:52:09,2023-07-05,
nor2-299,5182773.234,245449.918,59.952,,,,11:52:09,2023-07-05,
nor2-300,5182774.520,245449.113,59.957,,,,11:52:11,2023-07-05,
nor2-301,5182775.267,245448.740,59.894,,,,11:52:11,2023-07-05,
nor2-302,5182775.262,245448.731,59.912,,,,11:52:12,2023-07-05,
nor2-303,5182775.267,245448.732,59.912,,,,11:52:13,2023-07-05,
nor2-304,5182775.266,245448.733,59.907,,,,11:52:14,2023-07-05,
nor2-305,5182775.269,245448.733,59.904,,,,11:52:15,2023-07-05,
nor2-306,5182775.263,245448.732,59.910,,,,11:52:16,2023-07-05,
nor2-307,5182775.265,245448.733,59.917,,,,11:52:17,2023-07-05,
nor2-308,5182775.266,245448.731,59.909,,,,11:52:18,2023-07-05,
nor2-309,5182775.266,245448.732,59.919,,,,11:52:20,2023-07-05,
nor2-310,5182775.268,245448.733,59.920,,,,11:52:20,2023-07-05,
nor2-311,5182775.269,245448.733,59.913,,,,11:52:22,2023-07-05,
nor2-312,5182775.266,245448.734,59.912,,,,11:52:23,2023-07-05,
nor2-313,5182775.269,245448.734,59.914,,,,11:52:24,2023-07-05,
nor2-314,5182775.100,245448.814,59.915,,,,11:52:24,2023-07-05,
nor2-315,5182774.920,245448.909,59.908,,,,11:52:26,2023-07-05,
nor2-316,5182774.813,245448.962,59.900,,,,11:52:26,2023-07-05,
nor2-317,5182774.806,245448.972,59.912,,,,11:52:27,2023-07-05,
nor2-318,5182774.805,245448.970,59.908,,,,11:52:28,2023-07-05,
nor2-319,5182774.804,245448.968,59.906,,,,11:52:30,2023-07-05,
nor2-320,5182774.810,245448.969,59.907,,,,11:52:31,2023-07-05,
nor2-321,5182774.810,245448.970,59.903,,,,11:52:31,2023-07-05,
nor2-322,5182774.808,245448.967,59.908,,,,11:52:32,2023-07-05,
nor2-323,5182774.810,245448.968,59.910,,,,11:52:34,2023-07-05,
nor2-324,5182774.813,245448.967,59.913,,,,11:52:35,2023-07-05,
nor2-325,5182774.815,245448.966,59.910,,,,11:52:35,2023-07-05,
nor2-326,5182774.811,245448.963,59.909,,,,11:52:36,2023-07-05,
nor2-327,5182774.815,245448.965,59.915,,,,11:52:38,2023-07-05,
nor2-328,5182774.809,245448.963,59.915,,,,11:52:38,2023-07-05,
nor2-329,5182774.812,245448.966,59.907,,,,11:52:39,2023-07-05,
nor2-330,5182774.808,245448.965,59.905,,,,11:52:40,2023-07-05,
nor2-331,5182774.806,245448.968,59.909,,,,11:52:42,2023-07-05,
nor2-332,5182774.807,245448.965,59.908,,,,11:52:42,2023-07-05,
nor2-333,5182774.806,245448.965,59.909,,,,11:52:43,2023-07-05,
nor2-334,5182774.794,245448.970,59.906,,,,11:52:45,2023-07-05,
nor2-335,5182774.334,245449.124,59.925,,,,11:52:45,2023-07-05,
nor2-336,5182773.661,245449.301,59.908,,,,11:52:47,2023-07-05,
nor2-337,5182772.663,245449.408,59.937,,,,11:52:47,2023-07-05,
nor2-338,5182771.716,245449.285,59.915,,,,11:52:48,2023-07-05,
nor2-339,5182770.846,245448.850,59.929,,,,11:52:49,2023-07-05,
nor2-340,5182770.087,245448.174,59.961,,,,11:52:51,2023-07-05,
nor2-341,5182768.884,245447.206,59.950,,,,11:52:52,2023-07-05,
nor2-342,5182767.811,245446.486,59.968,,,,11:52:53,2023-07-05,
nor2-343,5182766.616,245446.044,59.981,,,,11:52:54,2023-07-05,
nor2-344,5182763.788,245445.612,60.013,,,,11:52:55,2023-07-05,
nor2-345,5182762.308,245445.496,60.061,,,,11:52:56,2023-07-05,
nor2-346,5182760.813,245445.410,60.063,,,,11:52:58,2023-07-05,
nor2-347,5182759.272,245445.304,60.111,,,,11:52:58,2023-07-05,
nor2-348,5182757.821,245445.277,60.100,,,,11:53:00,2023-07-05,
nor2-349,5182756.713,245445.474,60.145,,,,11:53:00,2023-07-05,
nor2-350,5182755.651,245445.990,60.136,,,,11:53:01,2023-07-05,
nor2-351,5182754.651,245446.920,60.120,,,,11:53:03,2023-07-05,
nor2-352,5182754.341,245447.100,60.141,,,,11:53:04,2023-07-05,
nor2-353,5182754.231,245447.044,60.148,,,,11:53:04,2023-07-05,
nor2-354,5182753.855,245447.327,60.142,,,,11:53:06,2023-07-05,
nor2-355,5182752.199,245447.531,60.072,,,,11:53:07,2023-07-05,
nor2-356,5182751.196,245447.240,60.070,,,,11:53:09,2023-07-05,
nor2-357,5182750.298,245446.445,59.988,,,,11:53:10,2023-07-05,
nor2-358,5182749.404,245445.440,60.050,,,,11:53:10,2023-07-05,
nor2-359,5182748.608,245444.557,60.192,,,,11:53:12,2023-07-05,
nor2-360,5182747.510,245443.440,60.358,,,,11:53:13,2023-07-05,
nor2-361,5182747.208,245443.179,60.380,,,,11:53:14,2023-07-05,
nor2-362,5182747.093,245443.229,60.362,,,,11:53:14,2023-07-05,
nor2-363,5182746.381,245443.212,60.356,,,,11:53:16,2023-07-05,
nor2-364,5182745.906,245443.466,60.262,,,,11:53:17,2023-07-05,
nor2-365,5182745.657,245443.671,60.274,,,,11:53:19,2023-07-05,
